,S1,S2,NA1,NA2,NA1+NA2,NA1+NA2+S1,NA1+NA2+S1+S2,INI
S1,7.654339603711591,0.5069570116252609,0.6995874199959683,0.2998606498468469,0.7587152387812897,,,0.09492768114772118
S2,0.24041173912308617,9.013482237399025,0.10819201574886232,0.065807288788243,0.13129521143727643,0.2646422937721598,,0.08016062887791985
NA1,0.9587581357373853,0.47792407120943975,2.8437778318618783,0.41833335624865325,,,,0.07715329203241332
NA2,0.7189069672708498,0.20180069723204228,0.3234338755053413,2.7052082215337343,,,,0.07405277736520298
NA1+NA2,0.7386978267849732,0.2997604188629849,,,7.69008758790379,,,0.07161337650067681
NA1+NA2+S1,,0.368845421064376,,,,16.082534030728482,,0.07753020247327899
NA1+NA2+S1+S2,,,,,,,30.182299970507316,0.07584635979185352
INI,0.18141628632024612,0.14121006016576748,0.042438891992435966,0.04833298316373138,0.0715083054544257,0.1896821642600013,0.2246469984322561,2.2786761494433474
